episode,investor_return,fair_1_return,fair_1_repay,max_1_return,max_1_repay
498,81.25,120.0,0.65,228.75,0.3
499,131.25,105.0,0.7,213.75,0.275
500,143.75,123.75,0.7,202.5,0.225
501,98.75,63.75,0.75,157.5,0.325
502,67.5,56.25,0.75,176.25,0.225
503,136.25,75.0,0.75,78.75,0.425
504,53.75,165.0,0.525,191.25,0.25
505,128.75,153.75,0.65,187.5,0.3
506,115.0,63.75,0.775,161.25,0.3
507,22.5,22.5,0.6,165.0,0.425
508,58.75,150.0,0.6,161.25,0.2
509,-5.0,33.75,0.725,161.25,0.275
510,87.5,120.0,0.65,112.5,0.225
511,-18.75,41.25,0.6,247.5,0.25
512,43.75,15.0,0.7,41.25,0.4
513,243.75,131.25,0.775,345.0,0.35
514,-5.0,101.25,0.575,153.75,0.275
515,55.0,26.25,0.75,78.75,0.45
516,50.0,86.25,0.625,93.75,0.275
517,202.5,123.75,0.75,93.75,0.275
518,15.0,56.25,0.675,168.75,0.25
519,47.5,22.5,0.775,150.0,0.275
520,98.75,67.5,0.775,213.75,0.25
521,83.75,67.5,0.7,78.75,0.275
522,121.25,78.75,0.8,90.0,0.375
523,193.75,191.25,0.675,45.0,0.25
524,82.5,22.5,0.8,225.0,0.325
525,198.75,127.5,0.775,393.75,0.325
526,136.25,108.75,0.725,165.0,0.275
527,52.5,217.5,0.5,360.0,0.325
528,261.25,150.0,0.75,108.75,0.425
529,128.75,146.25,0.7,135.0,0.25
530,141.25,93.75,0.775,135.0,0.325
531,-11.25,33.75,0.725,97.5,0.25
532,52.5,75.0,0.8,382.5,0.225
533,140.0,101.25,0.7,168.75,0.25
534,213.75,131.25,0.75,225.0,0.35
535,51.25,202.5,0.525,86.25,0.4
536,51.25,3.75,0.625,105.0,0.35
537,36.25,11.25,0.825,232.5,0.225
538,72.5,135.0,0.55,112.5,0.25
539,97.5,15.0,0.85,277.5,0.3
540,85.0,22.5,0.775,112.5,0.3
541,192.5,86.25,0.825,101.25,0.225
542,232.5,116.25,0.775,131.25,0.3
543,208.75,78.75,0.825,202.5,0.3
544,118.75,67.5,0.725,33.75,0.4
545,45.0,30.0,0.825,315.0,0.225
546,58.75,138.75,0.6,202.5,0.325
547,12.5,22.5,0.825,45.0,0.325
548,23.75,90.0,0.625,86.25,0.25
549,185.0,131.25,0.75,93.75,0.3
550,72.5,41.25,0.775,416.25,0.225
551,112.5,161.25,0.65,86.25,0.3
552,192.5,101.25,0.775,56.25,0.275
553,128.75,131.25,0.675,150.0,0.275
554,121.25,7.5,0.95,161.25,0.35
555,150.0,48.75,0.875,191.25,0.25
556,233.75,146.25,0.75,150.0,0.3
557,21.25,0.0,0.825,108.75,0.275
558,57.5,3.75,0.9,78.75,0.375
559,173.75,116.25,0.75,150.0,0.225
560,160.0,15.0,0.9,75.0,0.275
561,147.5,172.5,0.65,210.0,0.4
562,35.0,75.0,0.8,180.0,0.225
563,221.25,22.5,0.95,206.25,0.3
564,165.0,18.75,0.9,176.25,0.3
565,116.25,0.0,1.0,123.75,0.2
566,6.25,11.25,0.8,292.5,0.3
