timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
18,max_1,max,0,4,10322.0,20.0,60.0,0.0,0.0,-20.0,60.0,322.0,617.25,,
18,rnd_1,random,0,4,10312.0,10.0,30.0,0.0,0.0,-10.0,30.0,312.0,494.25,,
19,fair_1,fair,0,4,10352.0,20.0,60.0,60.0,1.0,40.0,0.0,352.0,112.5,,
19,max_1,max,0,4,10347.0,5.0,15.0,0.0,0.0,-5.0,15.0,347.0,632.25,,
19,rnd_1,random,0,4,10357.0,5.0,15.0,15.0,1.0,10.0,0.0,357.0,494.25,,
20,fair_1,fair,0,4,10397.0,20.0,60.0,60.0,1.0,40.0,0.0,397.0,112.5,,
20,max_1,max,0,4,10396.0,1.0,3.0,0.0,0.0,-1.0,3.0,396.0,635.25,,
20,rnd_1,random,0,4,10392.25,15.0,45.0,11.25,0.25,-3.75,33.75,392.25,528.0,,
21,fair_1,fair,0,4,10432.25,20.0,60.0,60.0,1.0,40.0,0.0,432.25,112.5,,
21,max_1,max,0,4,10431.25,1.0,3.0,0.0,0.0,-1.0,3.0,431.25,638.25,,
21,rnd_1,random,0,4,10461.25,15.0,45.0,45.0,1.0,30.0,0.0,461.25,528.0,,
22,fair_1,fair,0,4,10501.25,20.0,60.0,60.0,1.0,40.0,0.0,501.25,112.5,,
22,max_1,max,0,4,10496.25,5.0,15.0,0.0,0.0,-5.0,15.0,496.25,653.25,,
22,rnd_1,random,0,4,10508.75,10.0,30.0,22.5,0.75,12.5,7.5,508.75,535.5,,
23,fair_1,fair,0,4,10548.75,20.0,60.0,60.0,1.0,40.0,0.0,548.75,112.5,,
23,max_1,max,0,4,10543.75,5.0,15.0,0.0,0.0,-5.0,15.0,543.75,668.25,,
23,rnd_1,random,0,4,10542.5,5.0,15.0,3.75,0.25,-1.25,11.25,542.5,546.75,,
