timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,rnn_hidden_state,observation_window
77,fair_1,fair,0,4,11962.75,20.0,60.0,60.0,1.0,40.0,0.0,1962.75,1279.5,,
77,max_1,max,0,4,11962.75,0.0,0.0,0.0,0.4,0.0,0.0,1962.75,1458.75,,
77,fair_2,fair,0,4,11972.75,5.0,15.0,15.0,1.0,10.0,0.0,1972.75,1568.25,,
77,max_2,max,0,4,11972.75,0.0,0.0,0.0,0.0,0.0,0.0,1972.75,990.75,,
78,fair_1,fair,0,4,12000.5,15.0,45.0,42.75,0.95,27.75,2.25,2000.5,1281.75,,
78,max_1,max,0,4,11997.0,5.0,15.0,1.5,0.1,-3.5,13.5,1997.0,1472.25,,
78,fair_2,fair,0,4,12037.0,20.0,60.0,60.0,1.0,40.0,0.0,2037.0,1568.25,,
78,max_2,max,0,4,12039.5,5.0,15.0,7.5,0.5,2.5,7.5,2039.5,998.25,,
79,fair_1,fair,0,4,12043.5,5.0,15.0,9.0,0.6,4.0,6.0,2043.5,1287.75,,
79,max_1,max,0,4,12045.25,5.0,15.0,6.75,0.45,1.75,8.25,2045.25,1480.5,,
79,fair_2,fair,0,4,12065.25,10.0,30.0,30.0,1.0,20.0,0.0,2065.25,1568.25,,
79,max_2,max,0,4,12055.25,10.0,30.0,0.0,0.0,-10.0,30.0,2055.25,1028.25,,
80,fair_1,fair,0,4,12055.25,0.0,0.0,0.0,0.95,0.0,0.0,2055.25,1287.75,,
80,max_1,max,0,4,12051.75,5.0,15.0,1.5,0.1,-3.5,13.5,2051.75,1494.0,,
80,fair_2,fair,0,4,12079.75,20.0,60.0,48.0,0.8,28.0,12.0,2079.75,1580.25,,
80,max_2,max,0,4,12079.75,0.0,0.0,0.0,0.0,0.0,0.0,2079.75,1028.25,,
81,fair_1,fair,0,4,12119.75,20.0,60.0,60.0,1.0,40.0,0.0,2119.75,1287.75,,
81,max_1,max,0,4,12116.25,5.0,15.0,1.5,0.1,-3.5,13.5,2116.25,1507.5,,
81,fair_2,fair,0,4,12107.75,10.0,30.0,1.5,0.05,-8.5,28.5,2107.75,1608.75,,
81,max_2,max,0,4,12107.75,0.0,0.0,0.0,0.0,0.0,0.0,2107.75,1028.25,,
82,fair_1,fair,0,4,12144.75,20.0,60.0,57.0,0.95,37.0,3.0,2144.75,1290.75,,
82,max_1,max,0,4,12144.75,0.0,0.0,0.0,0.1,0.0,0.0,2144.75,1507.5,,
82,fair_2,fair,0,4,12144.75,0.0,0.0,0.0,1.0,0.0,0.0,2144.75,1608.75,,
82,max_2,max,0,4,12154.75,20.0,60.0,30.0,0.5,10.0,30.0,2154.75,1058.25,,
83,fair_1,fair,0,4,12191.75,20.0,60.0,57.0,0.95,37.0,3.0,2191.75,1293.75,,
83,max_1,max,0,4,12191.75,0.0,0.0,0.0,0.1,0.0,0.0,2191.75,1507.5,,
83,fair_2,fair,0,4,12187.5,5.0,15.0,0.75,0.05,-4.25,14.25,2187.5,1623.0,,
83,max_2,max,0,4,12187.5,0.0,0.0,0.0,0.6,0.0,0.0,2187.5,1058.25,,
84,fair_1,fair,0,4,12215.25,15.0,45.0,42.75,0.95,27.75,2.25,2215.25,1296.0,,
84,max_1,max,0,4,12225.25,5.0,15.0,15.0,1.0,10.0,0.0,2225.25,1507.5,,
84,fair_2,fair,0,4,12240.75,10.0,30.0,25.5,0.85,15.5,4.5,2240.75,1627.5,,
84,max_2,max,0,4,12240.75,0.0,0.0,0.0,0.0,0.0,0.0,2240.75,1058.25,,
85,fair_1,fair,0,4,12220.75,20.0,60.0,0.0,0.0,-20.0,60.0,2220.75,1356.0,,
85,max_1,max,0,4,12217.25,5.0,15.0,1.5,0.1,-3.5,13.5,2217.25,1521.0,,
85,fair_2,fair,0,4,12236.25,20.0,60.0,39.0,0.65,19.0,21.0,2236.25,1648.5,,
85,max_2,max,0,4,12231.25,5.0,15.0,0.0,0.0,-5.0,15.0,2231.25,1073.25,,
86,fair_1,fair,0,4,12226.25,5.0,15.0,0.0,0.0,-5.0,15.0,2226.25,1371.0,,
86,max_1,max,0,4,12222.75,5.0,15.0,1.5,0.1,-3.5,13.5,2222.75,1534.5,,
86,fair_2,fair,0,4,12236.75,10.0,30.0,24.0,0.8,14.0,6.0,2236.75,1654.5,,
86,max_2,max,0,4,12236.75,0.0,0.0,0.0,0.5,0.0,0.0,2236.75,1073.25,,
87,fair_1,fair,0,4,12256.75,10.0,30.0,30.0,1.0,20.0,0.0,2256.75,1371.0,,
87,max_1,max,0,4,12253.25,5.0,15.0,1.5,0.1,-3.5,13.5,2253.25,1548.0,,
87,fair_2,fair,0,4,12281.25,20.0,60.0,48.0,0.8,28.0,12.0,2281.25,1666.5,,
87,max_2,max,0,4,12276.25,5.0,15.0,0.0,0.0,-5.0,15.0,2276.25,1088.25,,
