timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
6,1,a2,fair,0,1,4,51.25,-8.75,31.25,5.0,5.0,15.0,15.0,1.0,10.0,0.0,48.75,8
7,0,a1,max,0,1,4,-25.0,-13.75,-45.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,135.0,8
7,1,a2,fair,0,1,4,51.25,-13.75,31.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,8
8,0,a1,max,0,1,4,-25.0,-13.75,-45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,135.0,8
8,1,a2,fair,0,1,4,51.25,-13.75,31.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,8
9,0,a1,max,0,1,4,-30.0,-18.75,-50.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,150.0,8
9,1,a2,fair,0,1,4,51.25,-18.75,31.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,8
0,0,a1,max,0,1,4,5.0,-15.0,-15.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,45.0,9
0,1,a2,fair,0,1,4,10.0,-25.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,9
1,0,a1,max,0,1,4,5.0,-25.0,-15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,45.0,9
1,1,a2,fair,0,1,4,10.0,-25.0,-10.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,30.0,9
2,0,a1,max,0,1,4,5.0,-25.0,-15.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,45.0,9
2,1,a2,fair,0,1,4,7.5,-27.5,-12.5,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,52.5,9
3,0,a1,max,0,1,4,5.0,-27.5,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9
3,1,a2,fair,0,1,4,12.5,-22.5,-7.5,10.0,10.0,30.0,15.0,0.5,5.0,15.0,67.5,9
4,0,a1,max,0,1,4,5.0,-22.5,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,9
4,1,a2,fair,0,1,4,25.0,-10.0,5.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,75.0,9
5,0,a1,max,0,1,4,-5.0,-20.0,-25.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,75.0,9
5,1,a2,fair,0,1,4,27.5,-17.5,7.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,82.5,9
6,0,a1,max,0,1,4,-15.0,-27.5,-35.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,105.0,9
6,1,a2,fair,0,1,4,23.75,-31.25,3.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,116.25,9
7,0,a1,max,0,1,4,-25.0,-41.25,-45.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,135.0,9
7,1,a2,fair,0,1,4,53.75,-11.25,33.75,15.0,15.0,45.0,45.0,1.0,30.0,0.0,116.25,9
8,0,a1,max,0,1,4,-35.0,-21.25,-55.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,165.0,9
8,1,a2,fair,0,1,4,78.75,3.75,58.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,131.25,9
9,0,a1,max,0,1,4,-45.0,-6.25,-65.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,195.0,9
9,1,a2,fair,0,1,4,103.75,18.75,83.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,146.25,9
0,0,a1,max,0,1,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,10
0,1,a2,fair,0,1,4,15.0,-15.0,-5.0,20.0,20.0,60.0,15.0,0.25,-5.0,45.0,45.0,10
1,0,a1,max,0,1,4,0.0,-25.0,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,10
1,1,a2,fair,0,1,4,10.0,-30.0,-10.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,60.0,10
2,0,a1,max,0,1,4,0.0,-30.0,-20.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,60.0,10
2,1,a2,fair,0,1,4,30.0,-10.0,10.0,10.0,10.0,30.0,30.0,1.0,20.0,0.0,60.0,10
3,0,a1,max,0,1,4,0.0,-10.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10
3,1,a2,fair,0,1,4,35.0,-5.0,15.0,10.0,10.0,30.0,15.0,0.5,5.0,15.0,75.0,10
4,0,a1,max,0,1,4,0.0,-5.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,10
4,1,a2,fair,0,1,4,37.5,-2.5,17.5,5.0,5.0,15.0,7.5,0.5,2.5,7.5,82.5,10
5,0,a1,max,0,1,4,-15.0,-17.5,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,10
5,1,a2,fair,0,1,4,33.75,-21.25,13.75,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,116.25,10
