iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high
118,DGP 2: Investor communication,1,Violated,7.253124999999972,1.7659714642752598,3.7918209300204633,10.71442906997948
119,DGP 1: No investor communication,0,Fulfilled,9.962499999999995,1.3914472469576644,7.235263395962972,12.689736604037018
119,DGP 2: Investor communication,1,Violated,8.540625000000013,1.7059641438625024,5.196935278029509,11.884314721970517
120,DGP 1: No investor communication,0,Fulfilled,9.649374999999994,1.3766626923570906,6.951116122980096,12.347633877019891
120,DGP 2: Investor communication,1,Violated,6.3562499999999655,1.7417149830036824,2.942488633312748,9.770011366687182
121,DGP 1: No investor communication,0,Fulfilled,8.60875000000001,1.3332675888211218,5.995545525910611,11.221954474089408
121,DGP 2: Investor communication,1,Violated,5.550000000000024,1.7095464719523616,2.199288914973395,8.900711085026654
122,DGP 1: No investor communication,0,Fulfilled,8.925625000000004,1.3431984602388278,6.2929560179319015,11.558293982068106
122,DGP 2: Investor communication,1,Violated,7.9568750000000055,1.7348736400942768,4.556522665415223,11.357227334584788
123,DGP 1: No investor communication,0,Fulfilled,8.29937499999998,1.3626210323764822,5.6286377765420745,10.970112223457885
123,DGP 2: Investor communication,1,Violated,11.020625000000008,1.7547234546928878,7.581367028801948,14.459882971198068
124,DGP 1: No investor communication,0,Fulfilled,7.0806249999999995,1.3381509861497698,4.457849067146451,9.703400932853548
124,DGP 2: Investor communication,1,Violated,9.629375000000003,1.7646049023281953,6.17074939143674,13.088000608563267
125,DGP 1: No investor communication,0,Fulfilled,9.11812499999999,1.3454676161665984,6.481008472313457,11.755241527686524
125,DGP 2: Investor communication,1,Violated,5.96875,1.7540729429178756,2.5307670318809636,9.406732968119037
126,DGP 1: No investor communication,0,Fulfilled,8.364999999999995,1.3566293937778529,5.706006388195403,11.023993611804586
126,DGP 2: Investor communication,1,Violated,10.289374999999962,1.7055055235582672,6.946584173825759,13.632165826174166
127,DGP 1: No investor communication,0,Fulfilled,9.97312499999999,1.3462074700010662,7.334558358797901,12.61169164120208
127,DGP 2: Investor communication,1,Violated,11.000000000000007,1.7328846746236546,7.603546037737644,14.39645396226237
