iter,dgp,e_ii,sutva_status,tau_hat,se_hat,ci_low,ci_high,tau_truth,error,covered
44,DGP 2: Investor communication,1,Violated,9.240000000000002,1.7214441903731041,5.865969386868718,12.614030613131286,8.095625000000034,1.1443749999999682,TRUE
45,DGP 1: No investor communication,0,Fulfilled,11.195624999999989,1.326225099601002,8.596223804782024,13.795026195217954,8.906874999999996,2.288749999999993,TRUE
45,DGP 2: Investor communication,1,Violated,8.668125000000003,1.7063247222406412,5.323728544408347,12.01252145559166,8.095625000000034,0.5724999999999696,TRUE
46,DGP 1: No investor communication,0,Fulfilled,7.270000000000008,1.3641314297686578,4.596302397653439,9.943697602346576,8.906874999999996,-1.6368749999999883,TRUE
46,DGP 2: Investor communication,1,Violated,7.183749999999986,1.7471224299466597,3.7593900373045326,10.608109962695439,8.095625000000034,-0.9118750000000482,TRUE
47,DGP 1: No investor communication,0,Fulfilled,7.644999999999996,1.327741989906371,5.042625699783509,10.247374300216483,8.906874999999996,-1.2618749999999999,TRUE
47,DGP 2: Investor communication,1,Violated,7.414375000000016,1.7007148954969322,4.080973804826028,10.747776195174003,8.095625000000034,-0.6812500000000181,TRUE
48,DGP 1: No investor communication,0,Fulfilled,9.710000000000004,1.3652056271394142,7.034196970806753,12.385803029193255,8.906874999999996,0.8031250000000085,TRUE
48,DGP 2: Investor communication,1,Violated,6.511874999999985,1.6766230341919872,3.22569385298369,9.798056147016279,8.095625000000034,-1.583750000000049,TRUE
49,DGP 1: No investor communication,0,Fulfilled,6.782499999999999,1.3136774676891256,4.2076921633293125,9.357307836670685,8.906874999999996,-2.124374999999997,TRUE
49,DGP 2: Investor communication,1,Violated,8.81437499999999,1.7748339131884352,5.335700530150657,12.293049469849322,8.095625000000034,0.7187499999999556,TRUE
50,DGP 1: No investor communication,0,Fulfilled,10.092499999999998,1.3109596146353861,7.523019155314641,12.661980844685354,8.906874999999996,1.1856250000000017,TRUE
50,DGP 2: Investor communication,1,Violated,7.140000000000002,1.7289678265862514,3.7512230598909495,10.528776940109054,8.095625000000034,-0.9556250000000315,TRUE
51,DGP 1: No investor communication,0,Fulfilled,11.431875000000005,1.3626237561861323,8.761132437875187,14.102617562124824,8.906874999999996,2.5250000000000092,TRUE
51,DGP 2: Investor communication,1,Violated,8.069374999999996,1.689291602485373,4.758363459128665,11.380386540871326,8.095625000000034,-0.026250000000038298,TRUE
52,DGP 1: No investor communication,0,Fulfilled,7.793749999999987,1.3455644060819385,5.156443764079388,10.431056235920586,8.906874999999996,-1.113125000000009,TRUE
52,DGP 2: Investor communication,1,Violated,4.457500000000012,1.7850415133700546,0.9588186337947051,7.956181366205319,8.095625000000034,-3.638125000000022,FALSE
53,DGP 1: No investor communication,0,Fulfilled,8.963749999999996,1.34744686778329,6.322754139144747,11.604745860855244,8.906874999999996,0.05687499999999979,TRUE
53,DGP 2: Investor communication,1,Violated,7.854999999999995,1.7453613268206534,4.434091799431515,11.275908200568475,8.095625000000034,-0.24062500000003872,TRUE
54,DGP 1: No investor communication,0,Fulfilled,7.613125000000014,1.3459665093172097,4.975030641738283,10.251219358261746,8.906874999999996,-1.2937499999999815,TRUE
54,DGP 2: Investor communication,1,Violated,10.582500000000033,1.7706880588705676,7.1119514046137216,14.053048595386345,8.095625000000034,2.4868749999999995,TRUE
55,DGP 1: No investor communication,0,Fulfilled,10.54000000000002,1.3420941476200818,7.909495470664661,13.17050452933538,8.906874999999996,1.6331250000000246,TRUE
55,DGP 2: Investor communication,1,Violated,5.6212499999999785,1.6922459877931324,2.304447863925439,8.938052136074518,8.095625000000034,-2.4743750000000553,TRUE
56,DGP 1: No investor communication,0,Fulfilled,7.140624999999998,1.306438609067082,4.580005326228518,9.701244673771479,8.906874999999996,-1.7662499999999977,TRUE
56,DGP 2: Investor communication,1,Violated,2.4387500000000095,1.7825819309439979,-1.055110584650226,5.932610584650245,8.095625000000034,-5.656875000000024,FALSE
57,DGP 1: No investor communication,0,Fulfilled,8.54125000000002,1.3212219560485041,5.951654966144951,11.130845033855088,8.906874999999996,-0.36562499999997655,TRUE
57,DGP 2: Investor communication,1,Violated,7.653750000000029,1.7282857551165642,4.2663099199715635,11.041190080028494,8.095625000000034,-0.4418750000000049,TRUE
58,DGP 1: No investor communication,0,Fulfilled,10.220000000000002,1.357512608947776,7.559275286462361,12.880724713537644,8.906874999999996,1.3131250000000065,TRUE
58,DGP 2: Investor communication,1,Violated,7.692500000000011,1.743205035285593,4.27581813084025,11.109181869159773,8.095625000000034,-0.4031250000000224,TRUE
59,DGP 1: No investor communication,0,Fulfilled,8.743749999999997,1.3868450030554977,6.0255337940112215,11.461966205988773,8.906874999999996,-0.16312499999999908,TRUE
59,DGP 2: Investor communication,1,Violated,8.318125,1.6984293496095066,4.989203474765367,11.647046525234632,8.095625000000034,0.2224999999999664,TRUE
60,DGP 1: No investor communication,0,Fulfilled,8.518749999999992,1.3558862418869921,5.861212965901487,11.176287034098497,8.906874999999996,-0.38812500000000405,TRUE
60,DGP 2: Investor communication,1,Violated,7.762500000000003,1.7566194244706042,4.319525928037619,11.205474071962387,8.095625000000034,-0.333125000000031,TRUE
61,DGP 1: No investor communication,0,Fulfilled,9.344999999999986,1.3426718598346876,6.713363154723998,11.976636845275975,8.906874999999996,0.43812499999999055,TRUE
61,DGP 2: Investor communication,1,Violated,3.5249999999999986,1.7471999261105038,0.1004881448234114,6.949511855176586,8.095625000000034,-4.570625000000035,FALSE
62,DGP 1: No investor communication,0,Fulfilled,7.951874999999987,1.3756766397218647,5.255548786145132,10.648201213854842,8.906874999999996,-0.955000000000009,TRUE
62,DGP 2: Investor communication,1,Violated,8.807500000000042,1.7120277893923475,5.451925532791041,12.163074467209043,8.095625000000034,0.711875000000008,TRUE
63,DGP 1: No investor communication,0,Fulfilled,6.134375000000016,1.3651372782472588,3.4587059346353892,8.810044065364643,8.906874999999996,-2.7724999999999795,FALSE
63,DGP 2: Investor communication,1,Violated,7.554375000000022,1.7294411925019895,4.164670262696122,10.944079737303921,8.095625000000034,-0.5412500000000122,TRUE
64,DGP 1: No investor communication,0,Fulfilled,8.185625000000023,1.3145334501453079,5.6091394377152195,10.762110562284827,8.906874999999996,-0.7212499999999729,TRUE
64,DGP 2: Investor communication,1,Violated,7.6837499999999945,1.7389519625759875,4.275404153351059,11.092095846648931,8.095625000000034,-0.4118750000000393,TRUE
65,DGP 1: No investor communication,0,Fulfilled,8.93125000000001,1.343228230520325,6.298522668180173,11.563977331819846,8.906874999999996,0.024375000000013358,TRUE
65,DGP 2: Investor communication,1,Violated,7.0306250000000095,1.76504647546316,3.5711339080922158,10.490116091907803,8.095625000000034,-1.0650000000000244,TRUE
66,DGP 1: No investor communication,0,Fulfilled,9.57749999999999,1.338260014799431,6.9545103709931055,12.200489629006874,8.906874999999996,0.670624999999994,TRUE
66,DGP 2: Investor communication,1,Violated,3.9212499999999846,1.7486241174915247,0.49394672971659626,7.348553270283373,8.095625000000034,-4.174375000000049,FALSE
67,DGP 1: No investor communication,0,Fulfilled,12.513749999999998,1.3222834398168837,9.922074457958907,15.10542554204109,8.906874999999996,3.6068750000000023,FALSE
67,DGP 2: Investor communication,1,Violated,10.453749999999985,1.7308998367073283,7.061186320053622,13.846313679946348,8.095625000000034,2.3581249999999514,TRUE
68,DGP 1: No investor communication,0,Fulfilled,8.212500000000011,1.3706556414769235,5.526014942705241,10.89898505729478,8.906874999999996,-0.6943749999999849,TRUE
68,DGP 2: Investor communication,1,Violated,9.368125000000006,1.6772102659097201,6.080792878816955,12.655457121183058,8.095625000000034,1.2724999999999724,TRUE
69,DGP 1: No investor communication,0,Fulfilled,10.726874999999998,1.361470171248378,8.058393464353177,13.395356535646819,8.906874999999996,1.820000000000002,TRUE
69,DGP 2: Investor communication,1,Violated,5.635000000000007,1.7470390310020498,2.2108034992359893,9.059196500764024,8.095625000000034,-2.460625000000027,TRUE
70,DGP 1: No investor communication,0,Fulfilled,11.126875000000014,1.360950689251986,8.459411649066121,13.794338350933907,8.906874999999996,2.2200000000000184,TRUE
70,DGP 2: Investor communication,1,Violated,10.024374999999988,1.759199607170045,6.5763437699467,13.472406230053277,8.095625000000034,1.9287499999999547,TRUE
71,DGP 1: No investor communication,0,Fulfilled,9.13125,1.3250367597172925,6.534177950954106,11.728322049045893,8.906874999999996,0.22437500000000377,TRUE
71,DGP 2: Investor communication,1,Violated,6.186249999999986,1.757025271808725,2.7424804672548855,9.630019532745086,8.095625000000034,-1.9093750000000478,TRUE
72,DGP 1: No investor communication,0,Fulfilled,7.859374999999999,1.3369197594152697,5.23901227154607,10.479737728453928,8.906874999999996,-1.0474999999999968,TRUE
72,DGP 2: Investor communication,1,Violated,10.286874999999995,1.7191314435906935,6.917377370562235,13.656372629437755,8.095625000000034,2.191249999999961,TRUE
73,DGP 1: No investor communication,0,Fulfilled,10.563124999999996,1.35317740185009,7.91089729237382,13.215352707626172,8.906874999999996,1.65625,TRUE
73,DGP 2: Investor communication,1,Violated,9.543125000000018,1.6781701916974023,6.2539114242731095,12.832338575726926,8.095625000000034,1.4474999999999838,TRUE
74,DGP 1: No investor communication,0,Fulfilled,6.804999999999969,1.3175403908159449,4.2226208340007165,9.38737916599922,8.906874999999996,-2.1018750000000272,TRUE
74,DGP 2: Investor communication,1,Violated,8.111875000000026,1.7264798578310645,4.72797447865114,11.495775521348913,8.095625000000034,0.016249999999992326,TRUE
75,DGP 1: No investor communication,0,Fulfilled,8.436250000000005,1.3168679255418239,5.85518886593803,11.01731113406198,8.906874999999996,-0.4706249999999912,TRUE
75,DGP 2: Investor communication,1,Violated,6.960624999999997,1.7688983898525648,3.49358415588897,10.427665844111024,8.095625000000034,-1.135000000000037,TRUE
76,DGP 1: No investor communication,0,Fulfilled,6.796250000000008,1.3321031730716104,4.185327780779652,9.407172219220364,8.906874999999996,-2.110624999999988,TRUE
76,DGP 2: Investor communication,1,Violated,6.426249999999998,1.793303798225909,2.911374555477216,9.941125444522779,8.095625000000034,-1.669375000000036,TRUE
77,DGP 1: No investor communication,0,Fulfilled,9.620624999999995,1.3525697923175568,6.969588207057583,12.271661792942407,8.906874999999996,0.7137499999999992,TRUE
77,DGP 2: Investor communication,1,Violated,7.179999999999989,1.7572388408558868,3.735811871922451,10.624188128077527,8.095625000000034,-0.9156250000000448,TRUE
78,DGP 1: No investor communication,0,Fulfilled,9.323125000000008,1.3907558066832593,6.59724361890082,12.049006381099197,8.906874999999996,0.4162500000000122,TRUE
78,DGP 2: Investor communication,1,Violated,9.29125,1.6755883353936387,6.007096862628468,12.57540313737153,8.095625000000034,1.195624999999966,TRUE
79,DGP 1: No investor communication,0,Fulfilled,8.18687500000001,1.4126191322272983,5.418141500834505,10.955608499165514,8.906874999999996,-0.7199999999999864,TRUE
79,DGP 2: Investor communication,1,Violated,9.803749999999992,1.7000020818139947,6.471745919644563,13.135754080355422,8.095625000000034,1.7081249999999581,TRUE
80,DGP 1: No investor communication,0,Fulfilled,7.038125000000009,1.368712351531763,4.3554487909977535,9.720801209002264,8.906874999999996,-1.868749999999987,TRUE
80,DGP 2: Investor communication,1,Violated,6.361875000000005,1.7052590162815415,3.0195673280881836,9.704182671911827,8.095625000000034,-1.733750000000029,TRUE
81,DGP 1: No investor communication,0,Fulfilled,7.095000000000008,1.3454863856921155,4.457846684043462,9.732153315956554,8.906874999999996,-1.8118749999999881,TRUE
81,DGP 2: Investor communication,1,Violated,12.574374999999975,1.6972502582997882,9.24776449373239,15.90098550626756,8.095625000000034,4.478749999999941,FALSE
82,DGP 1: No investor communication,0,Fulfilled,9.036249999999983,1.3684626276960958,6.354063249715635,11.718436750284331,8.906874999999996,0.12937499999998714,TRUE
82,DGP 2: Investor communication,1,Violated,8.428124999999994,1.7514711519513995,4.995241542175251,11.861008457824738,8.095625000000034,0.3324999999999605,TRUE
83,DGP 1: No investor communication,0,Fulfilled,8.75312499999998,1.3600566269968357,6.087414011086182,11.418835988913777,8.906874999999996,-0.15375000000001648,TRUE
83,DGP 2: Investor communication,1,Violated,7.393750000000009,1.684424164054873,4.092278638452457,10.69522136154756,8.095625000000034,-0.7018750000000251,TRUE
84,DGP 1: No investor communication,0,Fulfilled,8.646250000000002,1.3186395626681808,6.061716457170368,11.230783542829636,8.906874999999996,-0.2606249999999939,TRUE
84,DGP 2: Investor communication,1,Violated,8.953124999999996,1.7344016489669607,5.553697768024754,12.352552231975238,8.095625000000034,0.8574999999999626,TRUE
85,DGP 1: No investor communication,0,Fulfilled,8.039374999999989,1.3092051711972643,5.473332864453351,10.605417135546627,8.906874999999996,-0.8675000000000068,TRUE
85,DGP 2: Investor communication,1,Violated,5.943124999999995,1.7583662583155877,2.496727133701443,9.389522866298547,8.095625000000034,-2.152500000000039,TRUE
86,DGP 1: No investor communication,0,Fulfilled,8.346875000000026,1.3382952943359372,5.723816223101588,10.969933776898463,8.906874999999996,-0.5599999999999703,TRUE
86,DGP 2: Investor communication,1,Violated,8.513750000000014,1.6999651171033219,5.181818370477503,11.845681629522526,8.095625000000034,0.4181249999999803,TRUE
87,DGP 1: No investor communication,0,Fulfilled,8.529374999999979,1.3254980122683666,5.93139889595398,11.127351104045978,8.906874999999996,-0.37750000000001727,TRUE
87,DGP 2: Investor communication,1,Violated,5.476875000000016,1.6956516542555116,2.153397757659213,8.800352242340818,8.095625000000034,-2.618750000000018,TRUE
88,DGP 1: No investor communication,0,Fulfilled,8.23249999999998,1.3341954663339741,5.617476885985392,10.84752311401457,8.906874999999996,-0.6743750000000155,TRUE
88,DGP 2: Investor communication,1,Violated,7.373750000000012,1.7189149918532807,4.004676615967582,10.742823384032441,8.095625000000034,-0.721875000000022,TRUE
89,DGP 1: No investor communication,0,Fulfilled,6.821875000000015,1.3452368870217888,4.185210701437309,9.45853929856272,8.906874999999996,-2.0849999999999813,TRUE
89,DGP 2: Investor communication,1,Violated,5.185625000000009,1.729081290970053,1.796625669698705,8.574624330301312,8.095625000000034,-2.910000000000025,TRUE
90,DGP 1: No investor communication,0,Fulfilled,7.609999999999999,1.3616674913895475,4.941131716876487,10.278868283123511,8.906874999999996,-1.2968749999999964,TRUE
