timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
9,0,a1,max,0,0,4,7.5,-18.75,-12.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,82.5,4
9,1,a2,fair,0,0,4,20.0,-12.5,0.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,90.0,4
0,0,a1,max,0,0,4,0.0,-20.0,-20.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,60.0,5
0,1,a2,fair,0,0,4,10.0,-30.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,5
1,0,a1,max,0,0,4,-15.0,-45.0,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,5
1,1,a2,fair,0,0,4,8.75,-46.25,-11.25,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,41.25,5
2,0,a1,max,0,0,4,-30.0,-61.25,-50.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,150.0,5
2,1,a2,fair,0,0,4,7.5,-62.5,-12.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,52.5,5
3,0,a1,max,0,0,4,-50.0,-82.5,-70.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,210.0,5
3,1,a2,fair,0,0,4,5.0,-85.0,-15.0,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,75.0,5
4,0,a1,max,0,0,4,-70.0,-105.0,-90.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,270.0,5
4,1,a2,fair,0,0,4,2.5,-107.5,-17.5,10.0,10.0,30.0,7.5,0.25,-2.5,22.5,97.5,5
5,0,a1,max,0,0,4,-85.0,-122.5,-105.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,315.0,5
5,1,a2,fair,0,0,4,2.5,-122.5,-17.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,97.5,5
6,0,a1,max,0,0,4,-95.0,-132.5,-115.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,345.0,5
6,1,a2,fair,0,0,4,2.5,-132.5,-17.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,97.5,5
7,0,a1,max,0,0,4,-105.0,-142.5,-125.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,375.0,5
7,1,a2,fair,0,0,4,8.75,-136.25,-11.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,101.25,5
8,0,a1,max,0,0,4,-115.0,-146.25,-135.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,405.0,5
8,1,a2,fair,0,0,4,8.75,-146.25,-11.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,101.25,5
9,0,a1,max,0,0,4,-115.0,-146.25,-135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,5
9,1,a2,fair,0,0,4,15.0,-140.0,-5.0,5.0,5.0,15.0,11.25,0.75,6.25,3.75,105.0,5
0,0,a1,max,0,0,4,26.25,6.25,6.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,3.75,6
0,1,a2,fair,0,0,4,10.0,-3.75,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,6
1,0,a1,max,0,0,4,6.25,-23.75,-13.75,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,63.75,6
1,1,a2,fair,0,0,4,-10.0,-43.75,-30.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,90.0,6
2,0,a1,max,0,0,4,-8.75,-58.75,-28.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,108.75,6
