timestep,agent_name,agent_type,world_mode,observation_depth,investor_wealth,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,investor_cumulative,agent_cumulative,episode
1,fair_1,fair,0,4,23.75,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,-16.25,26.25,10
1,max_1,max,0,4,8.75,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-31.25,105.0,10
2,fair_1,fair,0,4,28.75,10.0,10.0,30.0,30.0,1.0,20.0,0.0,-11.25,26.25,10
2,max_1,max,0,4,18.75,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-21.25,135.0,10
3,fair_1,fair,0,4,15.0,15.0,15.0,45.0,11.25,0.25,-3.75,33.75,-25.0,60.0,10
3,max_1,max,0,4,5.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,-35.0,165.0,10
4,fair_1,fair,0,4,17.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-22.5,67.5,10
4,max_1,max,0,4,12.5,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-27.5,180.0,10
5,fair_1,fair,0,4,25.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-15.0,75.0,10
5,max_1,max,0,4,20.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,-20.0,195.0,10
6,fair_1,fair,0,4,32.5,10.0,10.0,30.0,22.5,0.75,12.5,7.5,-7.5,82.5,10
6,max_1,max,0,4,17.5,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,-22.5,240.0,10
7,fair_1,fair,0,4,36.25,15.0,15.0,45.0,33.75,0.75,18.75,11.25,-3.75,93.75,10
7,max_1,max,0,4,16.25,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,-23.75,300.0,10
8,fair_1,fair,0,4,22.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,-17.5,97.5,10
8,max_1,max,0,4,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5,300.0,10
